sentence_id,text,aspect_term,polarity,char_from,char_to,category,domain,label
2339,I charge it at night and skip taking the cord with me because of the good battery life.,cord,neutral,41,45,,laptop,2
2339,I charge it at night and skip taking the cord with me because of the good battery life.,battery life,positive,74,86,,laptop,0
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,negative,27,41,,laptop,1
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",negative,109,121,,laptop,1
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,neutral,4,12,,laptop,2
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,positive,14,21,,laptop,0
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,positive,36,39,,laptop,0
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,positive,118,130,,laptop,0
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,positive,143,146,,laptop,0
2789,Easy to start up and does not overheat as much as other laptops.,start up,positive,8,16,,laptop,0
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,positive,46,54,,laptop,0
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,positive,77,82,,laptop,0
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,positive,84,94,,laptop,0
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,positive,96,107,,laptop,0
80,Great laptop that offers many great features!,features,positive,36,44,,laptop,0
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,negative,89,92,,laptop,1
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,negative,94,100,,laptop,1
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,neutral,111,122,,laptop,2
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,negative,131,147,,laptop,1
1630,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,neutral,87,94,,laptop,2
38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,positive,50,66,,laptop,0
38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,negative,108,112,,laptop,1
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,positive,13,33,,laptop,0
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,positive,44,57,,laptop,0
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,neutral,73,87,,laptop,2
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,neutral,115,121,,laptop,2
2568,I love the way the entire suite of software works together.,suite of software,positive,26,43,,laptop,0
295,The speed is incredible and I am more than satisfied.,speed,positive,4,9,,laptop,0
2759,This laptop meets every expectation and Windows 7 is great!,Windows 7,positive,40,49,,laptop,0
2980,I can barely use any usb devices because they will not stay connected properly.,usb devices,negative,21,32,,laptop,1
743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,neutral,50,58,,laptop,2
743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,negative,111,117,,laptop,1
2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive,67,74,,laptop,0
2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",positive,32,46,,laptop,0
2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,neutral,80,86,,laptop,2
92,The machine is slow to boot up and occasionally crashes completely.,boot up,negative,23,30,,laptop,1
1204,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative,46,53,,laptop,1
1574,I love the operating system and the preloaded software.,operating system,positive,11,27,,laptop,0
1574,I love the operating system and the preloaded software.,preloaded software,positive,36,54,,laptop,0
3073,The best thing about this laptop is the price along with some of the newer features.,price,positive,40,45,,laptop,0
3073,The best thing about this laptop is the price along with some of the newer features.,features,positive,75,83,,laptop,0
1254,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,negative,57,76,,laptop,1
810,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative,44,60,,laptop,1
130,but now i have realized its a problem with this brand.,brand,negative,48,53,,laptop,1
839,I sent it back to Toshiba twice they covered it under the  warranty.,warranty,positive,59,67,,laptop,0
696,I was looking for a mac which is portable and has all the features that I was looking for.,features,positive,58,66,,laptop,0
1030,Also kinda loud when the fan was running.,fan,negative,25,28,,laptop,1
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,neutral,31,54,,laptop,2
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,negative,76,84,,laptop,1
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,negative,137,160,,laptop,1
463,Spent 2 hours on phone with HP Technical Support.,HP Technical Support,neutral,28,48,,laptop,2
147,The keyboard is too slick.,keyboard,negative,4,12,,laptop,1
1433,Nightly my computer defrags itself and runs a virus scan.,virus scan,neutral,46,56,,laptop,2
1669,"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,negative,10,17,,laptop,1
2462,It's just as fast with one program open as it is with sixteen open.,program,neutral,27,34,,laptop,2
2719,"Still under warrenty so called Toshiba, no help at all.",warrenty,negative,12,20,,laptop,1
1224,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,negative,120,136,,laptop,1
2492,Amazing Quality!,Quality,positive,8,15,,laptop,0
1541,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,neutral,48,54,,laptop,2
1541,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,positive,71,76,,laptop,0
3060,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,neutral,27,35,,laptop,2
3060,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,neutral,41,64,,laptop,2
915,"A month or so ago, the freaking motherboard just died.",motherboard,negative,32,43,,laptop,1
1524,"If a website ever freezes (which is rare), its really easy to force quit.",force quit,positive,62,72,,laptop,0
803,It rarely works and when it does it's incredibly slow.,works,negative,10,15,,laptop,1
2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,positive,66,75,,laptop,0
2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,neutral,95,109,,laptop,2
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,positive,44,60,,laptop,0
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,positive,84,88,,laptop,0
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,positive,23,31,,laptop,0
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,positive,65,75,,laptop,0
2033,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,neutral,25,42,,laptop,2
103,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,negative,92,119,,laptop,1
1149,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,negative,93,110,,laptop,1
900,"Then, within 5 months, the charger crapped out on me.",charger,negative,27,34,,laptop,1
1649,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,positive,88,93,,laptop,0
1912,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,negative,66,76,,laptop,1
1912,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,negative,81,93,,laptop,1
2752,I am using the external speaker- sound is good.,external speaker,positive,15,31,,laptop,0
2752,I am using the external speaker- sound is good.,sound,positive,33,38,,laptop,0
404,"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,negative,37,45,,laptop,1
